xd,yd,zd,x,y,z,phi,the,psi,fx
0,0,0,-0.000255738,-0.00030052,0.191291,-2.25E-08,-2.92E-07,0.00101975,0.00111425
0,0,0,-0.000257937,-0.000301028,0.191291,2.38E-07,-4.63E-07,0.00102313,0.00403152
0,0,0,-0.000260568,-0.000302374,0.191289,2.17E-05,6.52E-07,0.00102513,0.0029793
0,0,0,-0.000262986,-0.000300928,0.19129,-8.02E-06,1.77E-05,0.00103009,0.00615822
0,0,0,-0.000263352,-0.000302591,0.191291,-2.25E-08,-2.92E-07,0.00103578,0.00115246
0,0,0,-0.000265551,-0.000303099,0.191291,2.38E-07,-4.63E-07,0.00103916,0.00406954
0,0,0,-0.000268182,-0.000304444,0.191289,2.17E-05,6.52E-07,0.00104116,0.00301717
0,0,0,-0.0002706,-0.000302999,0.19129,-8.02E-06,1.77E-05,0.00104612,0.00619654
0,0,0,-0.000271007,-0.000304625,0.191291,-1.40E-07,-1.80E-07,0.00105165,-0.00310789
0,0,0,-0.000273166,-0.00030517,0.191291,2.38E-07,-4.63E-07,0.00105518,0.00410756
0,0,0,-0.000275797,-0.000306515,0.191289,2.17E-05,6.52E-07,0.00105718,0.00305505
0,0,0,-0.000278215,-0.00030507,0.19129,-8.02E-06,1.77E-05,0.00106214,0.00623485
0,0,0,-0.000278623,-0.000306696,0.191291,-1.40E-07,-1.80E-07,0.00106768,-0.00306954
0,0,0,-0.000280782,-0.000307241,0.191291,2.38E-07,-4.63E-07,0.0010712,0.00414558
0,0,0,-0.000283413,-0.000308587,0.191289,2.17E-05,6.52E-07,0.0010732,0.00309293
0,0,0,-0.000285832,-0.000307142,0.19129,-8.02E-06,1.77E-05,0.00107816,0.00627317
0,0,0,-0.000286198,-0.000308804,0.191291,-2.25E-08,-2.92E-07,0.00108384,0.00126711
0,0,0,-0.000288328,-0.000309296,0.191291,1.79E-07,-3.47E-07,0.00108707,0.00352181
0,0,0,-0.000290528,-0.000310931,0.191289,2.18E-05,6.07E-07,0.00109087,0.00304952
0,0,0,-0.000293019,-0.000309521,0.19129,-7.99E-06,1.76E-05,0.00109621,0.00633972
0,0,0,-0.000293458,-0.000311149,0.191291,-2.37E-08,-2.94E-07,0.00110157,0.00131815
0,0,0,-0.000295673,-0.000311643,0.191291,2.37E-07,-4.61E-07,0.00110486,0.00421149
0,0,0,-0.000298289,-0.000312995,0.191289,2.17E-05,6.52E-07,0.00110688,0.00316302
0,0,0,-0.000300707,-0.000311552,0.19129,-8.02E-06,1.77E-05,0.00111186,0.00634925
0,0,0,-0.000301076,-0.000313215,0.191291,-2.26E-08,-2.92E-07,0.00111755,0.00134227
0,0,0,-0.000303278,-0.000313723,0.191291,2.38E-07,-4.63E-07,0.00112091,0.0042582
0,0,0,-0.000305594,-0.0003134,0.19129,-6.40E-06,-1.58E-06,0.00112374,0.000266817
0,0,0,-0.000308329,-0.000313624,0.19129,-8.02E-06,1.77E-05,0.00112786,0.00638642
0,0,0,-0.000308696,-0.000315287,0.191291,-2.25E-08,-2.92E-07,0.00113354,0.00138005
0,0,0,-0.000310897,-0.000315795,0.191291,2.38E-07,-4.63E-07,0.00113691,0.00429595
0,0,0,-0.000313528,-0.000317141,0.191289,2.17E-05,6.52E-07,0.0011389,0.0032427
0,0,0,-0.000315948,-0.000315696,0.19129,-8.02E-06,1.77E-05,0.00114385,0.00642474
0,0,0,-0.000316316,-0.000317359,0.191291,-2.25E-08,-2.92E-07,0.00114953,0.00141828
