xd,yd,zd,x,y,z,phi,the,psi,fx
0,0,0,-0.000501274,-0.00792781,0.191289,2.10619e-05,-1.3078e-08,-0.00536675,0.00239643
0,0,0,-0.000501471,-0.00793287,0.19129,-7.32817e-06,-2.14071e-08,-0.005371,0.00222811
0,0,0,-0.000501925,-0.00793972,0.191292,-2.68988e-06,8.18153e-07,-0.0053751,0.0032551
0,0,0,-0.000502165,-0.00794771,0.191289,2.10619e-05,-1.30785e-08,-0.00537988,0.00240096
0,0,0,-0.000502362,-0.00795277,0.19129,-7.32815e-06,-2.1407e-08,-0.00538413,0.00223245
0,0,0,-0.000502816,-0.00795962,0.191292,-2.6899e-06,8.18155e-07,-0.00538823,0.00325946
0,0,0,-0.000503055,-0.00796762,0.191289,2.10619e-05,-1.30789e-08,-0.005393,0.00240548
0,0,0,-0.000503439,-0.00797355,0.191292,-2.68991e-06,8.18156e-07,-0.00539741,0.00326251
0,0,0,-0.000503706,-0.00797952,0.191292,-2.68991e-06,8.18156e-07,-0.00540134,0.00326382
0,0,0,-0.000503946,-0.00798752,0.191289,2.10619e-05,-1.30794e-08,-0.00540612,0.00240999
0,0,0,-0.000504143,-0.00799258,0.19129,-7.3281e-06,-2.14068e-08,-0.00541036,0.00224115
0,0,0,-0.000504596,-0.00799943,0.191292,-2.68993e-06,8.18158e-07,-0.00541445,0.00326818
0,0,0,-0.000504836,-0.00800742,0.191289,2.10619e-05,-1.30798e-08,-0.00541922,0.00241451
0,0,0,-0.000505219,-0.00801336,0.191292,-2.68994e-06,8.18159e-07,-0.00542362,0.00327123
0,0,0,-0.000505486,-0.00801933,0.191292,-2.68994e-06,8.18159e-07,-0.00542755,0.00327254
0,0,0,-0.000505725,-0.00802733,0.191289,2.10619e-05,-1.30803e-08,-0.00543232,0.00241903
0,0,0,-0.000506108,-0.00803326,0.191292,-2.68996e-06,8.1816e-07,-0.00543671,0.00327558
0,0,0,-0.000506375,-0.00803924,0.191292,-2.68996e-06,8.18161e-07,-0.00544064,0.00327689
0,0,0,-0.000506614,-0.00804723,0.191289,2.10619e-05,-1.30808e-08,-0.0054454,0.00242354
0,0,0,-0.000506811,-0.00805229,0.19129,-7.32803e-06,-2.14064e-08,-0.00544963,0.00225418
0,0,0,-0.000507264,-0.00805914,0.191292,-2.68998e-06,8.18162e-07,-0.00545371,0.00328125
0,0,0,-0.000507503,-0.00806713,0.191289,2.10619e-05,-1.30812e-08,-0.00545848,0.00242805
0,0,0,-0.0005077,-0.00807219,0.19129,-7.32801e-06,-2.14063e-08,-0.0054627,0.00225852
0,0,0,-0.000508153,-0.00807904,0.191292,-2.68999e-06,8.18164e-07,-0.00546678,0.0032856
0,0,0,-0.000508392,-0.00808704,0.191289,2.10619e-05,-1.30817e-08,-0.00547154,0.00243256
0,0,0,-0.000508589,-0.0080921,0.19129,-7.32798e-06,-2.14062e-08,-0.00547576,0.00226286
0,0,0,-0.000509041,-0.00809895,0.191292,-2.69001e-06,8.18165e-07,-0.00547984,0.00328995
0,0,0,-0.000509281,-0.00810694,0.191289,2.10619e-05,-1.30821e-08,-0.0054846,0.00243707
0,0,0,-0.000509477,-0.008112,0.19129,-7.32796e-06,-2.1406e-08,-0.00548882,0.00226719
0,0,0,-0.000509929,-0.00811885,0.191292,-2.69002e-06,8.18167e-07,-0.00549289,0.0032943
0,0,0,-0.000510098,-0.00812594,0.19129,-7.32794e-06,-2.1406e-08,-0.00549795,0.00227023
0,0,0,-0.000510365,-0.00813191,0.19129,-7.32793e-06,-2.14059e-08,-0.00550186,0.00227153
0,0,0,-0.000510817,-0.00813876,0.191292,-2.69004e-06,8.18168e-07,-0.00550593,0.00329865
0,0,0,-0.000511056,-0.00814675,0.191289,2.10619e-05,-1.30831e-08,-0.00551068,0.00244608
0,0,0,-0.000511252,-0.00815181,0.19129,-7.32791e-06,-2.14058e-08,-0.00551489,0.00227586
