xd,yd,zd,x,y,z,phi,the,psi,fx
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,-0.00048494,-0.00756158,0.191292,-2.69E-06,8.18E-07,-0.00512387,0.00317192
0,0,0,-0.00048494,-0.00756158,0.191292,-2.69E-06,8.18E-07,-0.00512387,0.00317192
0,0,0,-0.000485181,-0.00756957,0.191289,2.11E-05,-1.31E-08,-0.00512871,0.00231476
0,0,0,-0.000485381,-0.00757463,0.19129,-7.33E-06,-2.14E-08,-0.00513302,0.00214956
0,0,0,-0.000485837,-0.00758148,0.191292,-2.69E-06,8.18E-07,-0.00513718,0.00317631
0,0,0,-0.000486078,-0.00758947,0.191289,2.11E-05,-1.31E-08,-0.00514202,0.00231931
0,0,0,-0.000486278,-0.00759453,0.19129,-7.33E-06,-2.14E-08,-0.00514632,0.00215393
0,0,0,-0.000486734,-0.00760138,0.191292,-2.69E-06,8.18E-07,-0.00515048,0.0031807
0,0,0,-0.000486975,-0.00760937,0.191289,2.11E-05,-1.31E-08,-0.00515532,0.00232386
0,0,0,-0.000487174,-0.00761443,0.19129,-7.33E-06,-2.14E-08,-0.00515962,0.00215831
0,0,0,-0.00048763,-0.00762128,0.191292,-2.69E-06,8.18E-07,-0.00516377,0.00318509
0,0,0,-0.000487871,-0.00762927,0.191289,2.11E-05,-1.31E-08,-0.0051686,0.00232841
0,0,0,-0.00048807,-0.00763433,0.19129,-7.33E-06,-2.14E-08,-0.0051729,0.00216268
0,0,0,-0.000488526,-0.00764118,0.191292,-2.69E-06,8.18E-07,-0.00517705,0.00318948
0,0,0,-0.000488767,-0.00764918,0.191289,2.11E-05,-1.31E-08,-0.00518188,0.00233295
0,0,0,-0.000488966,-0.00765423,0.19129,-7.33E-06,-2.14E-08,-0.00518617,0.00216706
0,0,0,-0.000489421,-0.00766108,0.191292,-2.69E-06,8.18E-07,-0.00519032,0.00319386
0,0,0,-0.000489662,-0.00766908,0.191289,2.11E-05,-1.31E-08,-0.00519515,0.0023375
0,0,0,-0.000489861,-0.00767414,0.19129,-7.33E-06,-2.14E-08,-0.00519944,0.00217143
0,0,0,-0.000490316,-0.00768098,0.191292,-2.69E-06,8.18E-07,-0.00520358,0.00319825
0,0,0,-0.000490557,-0.00768898,0.191289,2.11E-05,-1.31E-08,-0.00520841,0.00234204
0,0,0,-0.000490943,-0.00769491,0.191292,-2.69E-06,8.18E-07,-0.00521286,0.00320131
0,0,0,-0.000491211,-0.00770089,0.191292,-2.69E-06,8.18E-07,-0.00521683,0.00320263
0,0,0,-0.000491452,-0.00770888,0.191289,2.11E-05,-1.31E-08,-0.00522165,0.00234659
0,0,0,-0.000491651,-0.00771394,0.19129,-7.33E-06,-2.14E-08,-0.00522594,0.00218016
0,0,0,-0.000492106,-0.00772079,0.191292,-2.69E-06,8.18E-07,-0.00523008,0.00320701
0,0,0,-0.000492347,-0.00772878,0.191289,2.11E-05,-1.31E-08,-0.00523489,0.00235113
0,0,0,-0.000492545,-0.00773384,0.19129,-7.33E-06,-2.14E-08,-0.00523917,0.00218453
0,0,0,-0.000493,-0.00774069,0.191292,-2.69E-06,8.18E-07,-0.00524331,0.00321139
