xd,yd,zd,x,y,z,phi,the,psi
0,0,0,-0.00636252,-0.00185019,0.191291,2.34E-07,-4.54E-07,0.0116406
0,0,0,-0.00636524,-0.00185156,0.191289,2.17E-05,6.53E-07,0.0116417
0,0,0,-0.00636785,-0.00185017,0.19129,-8.03E-06,1.76E-05,0.0116456
0,0,0,-0.00636841,-0.00185183,0.191291,-1.21E-08,-2.77E-07,0.0116501
0,0,0,-0.00637075,-0.00185235,0.191291,2.34E-07,-4.54E-07,0.0116525
0,0,0,-0.00637347,-0.00185372,0.191289,2.17E-05,6.53E-07,0.0116536
0,0,0,-0.00637608,-0.00185234,0.19129,-8.03E-06,1.76E-05,0.0116575
0,0,0,-0.00637664,-0.00185402,0.191281,-4.47E-08,-4.04E-06,0.0116621
0,0,0,-0.00637897,-0.00185452,0.191291,2.34E-07,-4.54E-07,0.0116645
0,0,0,-0.00638169,-0.00185589,0.191289,2.17E-05,6.53E-07,0.0116656
0,0,0,-0.0063843,-0.00185451,0.19129,-8.03E-06,1.76E-05,0.0116695
0,0,0,-0.00638485,-0.00185616,0.191291,-1.21E-08,-2.77E-07,0.011674
0,0,0,-0.00638719,-0.00185668,0.191291,2.34E-07,-4.54E-07,0.0116764
0,0,0,-0.00638991,-0.00185806,0.191289,2.17E-05,6.53E-07,0.0116775
0,0,0,-0.00639252,-0.00185667,0.19129,-8.03E-06,1.76E-05,0.0116814
0,0,0,-0.00639308,-0.00185833,0.191291,-1.22E-08,-2.77E-07,0.011686
0,0,0,-0.00639542,-0.00185885,0.191291,2.34E-07,-4.54E-07,0.0116884
0,0,0,-0.00639814,-0.00186022,0.191289,2.17E-05,6.53E-07,0.0116895
0,0,0,-0.00639968,-0.00186004,0.191291,-1.32E-07,-1.82E-07,0.0116955
0,0,0,-0.00640131,-0.00186052,0.191281,-4.47E-08,-4.04E-06,0.0116979
0,0,0,-0.00640364,-0.00186102,0.191291,2.34E-07,-4.54E-07,0.0117003
0,0,0,-0.00640636,-0.00186239,0.191289,2.17E-05,6.53E-07,0.0117014
0,0,0,-0.00640897,-0.00186101,0.19129,-8.04E-06,1.76E-05,0.0117053
0,0,0,-0.00640953,-0.00186267,0.191291,-1.22E-08,-2.76E-07,0.0117098
0,0,0,-0.00641187,-0.00186319,0.191291,2.34E-07,-4.54E-07,0.0117123
0,0,0,-0.00641459,-0.00186456,0.191289,2.17E-05,6.53E-07,0.0117134
0,0,0,-0.00641613,-0.00186438,0.191291,-1.32E-07,-1.82E-07,0.0117194
0,0,0,-0.00641775,-0.00186483,0.191291,-1.22E-08,-2.76E-07,0.0117218
0,0,0,-0.00642009,-0.00186536,0.191291,2.34E-07,-4.54E-07,0.0117242
0,0,0,-0.00642281,-0.00186673,0.191289,2.17E-05,6.53E-07,0.0117253
0,0,0,-0.00642543,-0.00186534,0.19129,-8.04E-06,1.76E-05,0.0117292
0,0,0,-0.00642598,-0.001867,0.191291,-1.22E-08,-2.76E-07,0.0117337
0,0,0,-0.00642832,-0.00186752,0.191291,2.34E-07,-4.54E-07,0.0117362
0,0,0,-0.00643104,-0.0018689,0.191289,2.17E-05,6.53E-07,0.0117373
0,0,0,-0.00643365,-0.00186751,0.19129,-8.04E-06,1.76E-05,0.0117411
0,0,0,-0.00643421,-0.00186917,0.191291,-1.22E-08,-2.76E-07,0.0117457
0,0,0,-0.00643655,-0.00186969,0.191291,2.34E-07,-4.54E-07,0.0117481
0,0,0,-0.00643927,-0.00187106,0.191289,2.17E-05,6.53E-07,0.0117492
0,0,0,-0.00644188,-0.00186968,0.19129,-8.04E-06,1.76E-05,0.0117531
0,0,0,-0.00644243,-0.00187134,0.191291,-1.22E-08,-2.76E-07,0.0117576
0,0,0,-0.00644477,-0.00187186,0.191291,2.34E-07,-4.54E-07,0.01176
0,0,0,-0.00644749,-0.00187323,0.191289,2.17E-05,6.53E-07,0.0117611
0,0,0,-0.00645011,-0.00187185,0.19129,-8.04E-06,1.76E-05,0.011765
0,0,0,-0.00645066,-0.00187351,0.191291,-1.22E-08,-2.76E-07,0.0117695
0,0,0,-0.00645369,-0.00187372,0.191291,-2.05E-06,-6.38E-07,0.0117722
0,0,0,-0.00645572,-0.0018754,0.191289,2.17E-05,6.53E-07,0.0117731
0,0,0,-0.00645833,-0.00187402,0.19129,-8.04E-06,1.76E-05,0.0117769
0,0,0,-0.00645889,-0.00187568,0.191291,-1.22E-08,-2.76E-07,0.0117814
0,0,0,-0.00646123,-0.0018762,0.191291,2.34E-07,-4.54E-07,0.0117839
0,0,0,-0.00646395,-0.00187757,0.191289,2.17E-05,6.53E-07,0.011785
0,0,0,-0.00646656,-0.00187619,0.19129,-8.04E-06,1.76E-05,0.0117888
0,0,0,-0.00646712,-0.00187785,0.191291,-1.22E-08,-2.76E-07,0.0117934
0,0,0,-0.00646946,-0.00187837,0.191291,2.34E-07,-4.54E-07,0.0117958
0,0,0,-0.0064719,-0.00187808,0.19129,-6.48E-06,-1.60E-06,0.0117976
0,0,0,-0.00647479,-0.00187836,0.19129,-8.04E-06,1.76E-05,0.0118008
0,0,0,-0.00647535,-0.00188002,0.191291,-1.22E-08,-2.76E-07,0.0118053
0,0,0,-0.00647769,-0.00188054,0.191291,2.34E-07,-4.54E-07,0.0118077
0,0,0,-0.00648041,-0.00188191,0.191289,2.17E-05,6.53E-07,0.0118088
0,0,0,-0.00648302,-0.00188053,0.19129,-8.04E-06,1.76E-05,0.0118127
0,0,0,-0.00648358,-0.00188219,0.191291,-1.22E-08,-2.76E-07,0.0118172
0,0,0,-0.00648592,-0.00188271,0.191291,2.34E-07,-4.54E-07,0.0118196
0,0,0,-0.00648864,-0.00188409,0.191289,2.17E-05,6.53E-07,0.0118207
0,0,0,-0.00649125,-0.0018827,0.19129,-8.04E-06,1.76E-05,0.0118246
0,0,0,-0.00649181,-0.00188436,0.191291,-1.22E-08,-2.76E-07,0.0118291
0,0,0,-0.00649415,-0.00188488,0.191291,2.34E-07,-4.54E-07,0.0118316
0,0,0,-0.00649687,-0.00188626,0.191289,2.17E-05,6.53E-07,0.0118327
0,0,0,-0.00649948,-0.00188487,0.19129,-8.04E-06,1.76E-05,0.0118365
0,0,0,-0.00650004,-0.00188653,0.191291,-1.22E-08,-2.76E-07,0.011841
0,0,0,-0.00650238,-0.00188706,0.191291,2.34E-07,-4.54E-07,0.0118435
0,0,0,-0.0065051,-0.00188843,0.191289,2.17E-05,6.53E-07,0.0118446
0,0,0,-0.00650771,-0.00188705,0.19129,-8.04E-06,1.76E-05,0.0118484
0,0,0,-0.00650828,-0.00188873,0.191281,-4.49E-08,-4.03E-06,0.011853
